YEAR,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
1990,"Combined Heat and Power, Electric Power",Petroleum,310
1990,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"5,201"
1990,"Combined Heat and Power, Commercial Power",Total,"411,321"
1990,"Combined Heat and Power, Commercial Power",Coal,"206,110"
1990,"Combined Heat and Power, Commercial Power",Natural Gas,"28,098"
1990,"Combined Heat and Power, Commercial Power",Other Biomass,"174,309"
1990,"Combined Heat and Power, Commercial Power",Petroleum,"2,804"
1991,Total Electric Power Industry,Total,"105,978,124"
1991,Total Electric Power Industry,Coal,"66,878,223"
1991,Total Electric Power Industry,Hydroelectric Conventional,"1,751,668"
1991,Total Electric Power Industry,Natural Gas,"8,499,078"
1991,Total Electric Power Industry,Nuclear,"27,021,214"
1991,Total Electric Power Industry,Other,"28,221"
1991,Total Electric Power Industry,Other Biomass,"504,978"
1991,Total Electric Power Industry,Other Gases,"217,829"
1991,Total Electric Power Industry,Petroleum,"658,567"
1991,Total Electric Power Industry,Pumped Storage,"-795,785"
1991,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,214,131"
1991,"Electric Generators, Independent Power Producers",Total,"693,687"
1991,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"76,816"
1991,"Electric Generators, Independent Power Producers",Natural Gas,"3,720"
1991,"Electric Generators, Independent Power Producers",Other Biomass,"174,428"
1991,"Electric Generators, Independent Power Producers",Petroleum,152
1991,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"438,571"
1991,"Electric Generators, Electric Utilities",Total,"94,567,383"
1991,"Electric Generators, Electric Utilities",Coal,"65,138,291"
1991,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,651,742"
1991,"Electric Generators, Electric Utilities",Natural Gas,"998,058"
1991,"Electric Generators, Electric Utilities",Nuclear,"27,021,214"
1991,"Electric Generators, Electric Utilities",Petroleum,"553,863"
1991,"Electric Generators, Electric Utilities",Pumped Storage,"-795,785"
1991,"Combined Heat and Power, Industrial Power",Total,"3,436,531"
1991,"Combined Heat and Power, Industrial Power",Coal,"1,148,818"
1991,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"23,110"
1991,"Combined Heat and Power, Industrial Power",Natural Gas,"1,171,259"
1991,"Combined Heat and Power, Industrial Power",Other,"27,606"
1991,"Combined Heat and Power, Industrial Power",Other Biomass,866
1991,"Combined Heat and Power, Industrial Power",Other Gases,"217,824"
1991,"Combined Heat and Power, Industrial Power",Petroleum,"102,286"
1991,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"744,762"
1991,"Combined Heat and Power, Electric Power",Total,"6,702,210"
1991,"Combined Heat and Power, Electric Power",Coal,"389,096"
1991,"Combined Heat and Power, Electric Power",Natural Gas,"6,282,097"
1991,"Combined Heat and Power, Electric Power",Other Gases,5
1991,"Combined Heat and Power, Electric Power",Petroleum,214
1991,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"30,798"
1991,"Combined Heat and Power, Commercial Power",Total,"578,313"
1991,"Combined Heat and Power, Commercial Power",Coal,"202,018"
1991,"Combined Heat and Power, Commercial Power",Natural Gas,"43,944"
1991,"Combined Heat and Power, Commercial Power",Other,615
1991,"Combined Heat and Power, Commercial Power",Other Biomass,"329,684"
1991,"Combined Heat and Power, Commercial Power",Petroleum,"2,052"
1992,Total Electric Power Industry,Total,"95,321,939"
1992,Total Electric Power Industry,Coal,"63,346,702"
1992,Total Electric Power Industry,Hydroelectric Conventional,"1,782,271"
1992,Total Electric Power Industry,Natural Gas,"9,528,639"
1992,Total Electric Power Industry,Nuclear,"18,848,731"
1992,Total Electric Power Industry,Other,"31,190"
1992,Total Electric Power Industry,Other Biomass,"330,502"
1992,Total Electric Power Industry,Other Gases,"243,754"
1992,Total Electric Power Industry,Petroleum,"628,767"
1992,Total Electric Power Industry,Pumped Storage,"-770,902"
1992,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,352,285"
1992,"Electric Generators, Independent Power Producers",Total,"868,191"
1992,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"111,986"
1992,"Electric Generators, Independent Power Producers",Natural Gas,"1,374"
1992,"Electric Generators, Independent Power Producers",Other Biomass,"226,446"
1992,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"528,385"
1992,"Electric Generators, Electric Utilities",Total,"82,679,444"
1992,"Electric Generators, Electric Utilities",Coal,"61,434,530"
1992,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,647,175"
1992,"Electric Generators, Electric Utilities",Natural Gas,"1,021,751"
1992,"Electric Generators, Electric Utilities",Nuclear,"18,848,731"
1992,"Electric Generators, Electric Utilities",Petroleum,"498,159"
1992,"Electric Generators, Electric Utilities",Pumped Storage,"-770,902"
1992,"Combined Heat and Power, Industrial Power",Total,"3,535,517"
1992,"Combined Heat and Power, Industrial Power",Coal,"1,221,762"
1992,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"23,110"
1992,"Combined Heat and Power, Industrial Power",Natural Gas,"1,077,170"
1992,"Combined Heat and Power, Industrial Power",Other,"30,575"
1992,"Combined Heat and Power, Industrial Power",Other Biomass,"1,128"
1992,"Combined Heat and Power, Industrial Power",Other Gases,"243,754"
1992,"Combined Heat and Power, Industrial Power",Petroleum,"114,118"
1992,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"823,900"
1992,"Combined Heat and Power, Electric Power",Total,"7,907,290"
1992,"Combined Heat and Power, Electric Power",Coal,"507,438"
1992,"Combined Heat and Power, Electric Power",Natural Gas,"7,384,843"
1992,"Combined Heat and Power, Electric Power",Petroleum,"15,009"
1992,"Combined Heat and Power, Commercial Power",Total,"331,497"
1992,"Combined Heat and Power, Commercial Power",Coal,"182,972"
1992,"Combined Heat and Power, Commercial Power",Natural Gas,"43,501"
1992,"Combined Heat and Power, Commercial Power",Other,615
1992,"Combined Heat and Power, Commercial Power",Other Biomass,"102,928"
1992,"Combined Heat and Power, Commercial Power",Petroleum,"1,481"
1993,Total Electric Power Industry,Total,"106,368,549"
1993,Total Electric Power Industry,Coal,"63,959,080"
1993,Total Electric Power Industry,Hydroelectric Conventional,"1,761,842"
1993,Total Electric Power Industry,Natural Gas,"10,020,213"
1993,Total Electric Power Industry,Nuclear,"28,525,000"
1993,Total Electric Power Industry,Other,"37,111"
1993,Total Electric Power Industry,Other Biomass,"487,404"
1993,Total Electric Power Industry,Other Gases,"3,371"
1993,Total Electric Power Industry,Petroleum,"761,575"
1993,Total Electric Power Industry,Pumped Storage,"-773,214"
1993,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,586,167"
1993,"Electric Generators, Independent Power Producers",Total,"1,185,746"
1993,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"100,589"
1993,"Electric Generators, Independent Power Producers",Natural Gas,"5,548"
1993,"Electric Generators, Independent Power Producers",Other Biomass,"300,517"
1993,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"779,092"
1993,"Electric Generators, Electric Utilities",Total,"92,250,107"
1993,"Electric Generators, Electric Utilities",Coal,"61,558,991"
1993,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,639,359"
1993,"Electric Generators, Electric Utilities",Natural Gas,"680,194"
1993,"Electric Generators, Electric Utilities",Nuclear,"28,525,000"
1993,"Electric Generators, Electric Utilities",Petroleum,"619,777"
1993,"Electric Generators, Electric Utilities",Pumped Storage,"-773,214"
1993,"Combined Heat and Power, Industrial Power",Total,"3,574,668"
1993,"Combined Heat and Power, Industrial Power",Coal,"1,698,370"
1993,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"21,894"
1993,"Combined Heat and Power, Industrial Power",Natural Gas,"870,559"
1993,"Combined Heat and Power, Industrial Power",Other,"37,080"
1993,"Combined Heat and Power, Industrial Power",Other Biomass,"1,778"
1993,"Combined Heat and Power, Industrial Power",Other Gases,898
1993,"Combined Heat and Power, Industrial Power",Petroleum,"137,014"
1993,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"807,075"
1993,"Combined Heat and Power, Electric Power",Total,"8,905,594"
1993,"Combined Heat and Power, Electric Power",Coal,"497,293"
1993,"Combined Heat and Power, Electric Power",Natural Gas,"8,404,941"
1993,"Combined Heat and Power, Electric Power",Other Gases,"2,473"
1993,"Combined Heat and Power, Electric Power",Petroleum,887
1993,"Combined Heat and Power, Commercial Power",Total,"452,434"
1993,"Combined Heat and Power, Commercial Power",Coal,"204,426"
1993,"Combined Heat and Power, Commercial Power",Natural Gas,"58,971"
1993,"Combined Heat and Power, Commercial Power",Other,31
1993,"Combined Heat and Power, Commercial Power",Other Biomass,"185,109"
1993,"Combined Heat and Power, Commercial Power",Petroleum,"3,897"
1994,Total Electric Power Industry,Total,"98,307,389"
1994,Total Electric Power Industry,Coal,"69,771,616"
1994,Total Electric Power Industry,Hydroelectric Conventional,"1,660,268"
1994,Total Electric Power Industry,Natural Gas,"10,436,549"
1994,Total Electric Power Industry,Nuclear,"14,144,281"
1994,Total Electric Power Industry,Other,"15,307"
1994,Total Electric Power Industry,Other Biomass,"543,202"
1994,Total Electric Power Industry,Other Gases,"4,634"
1994,Total Electric Power Industry,Petroleum,"825,523"
1994,Total Electric Power Industry,Pumped Storage,"-811,063"
1994,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,717,072"
1994,"Electric Generators, Independent Power Producers",Total,"1,343,055"
1994,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"97,578"
1994,"Electric Generators, Independent Power Producers",Natural Gas,"11,916"
1994,"Electric Generators, Independent Power Producers",Other Biomass,"347,901"
1994,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"885,660"
1994,"Electric Generators, Electric Utilities",Total,"83,720,636"
1994,"Electric Generators, Electric Utilities",Coal,"67,538,611"
1994,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,536,190"
1994,"Electric Generators, Electric Utilities",Natural Gas,"656,757"
1994,"Electric Generators, Electric Utilities",Nuclear,"14,144,281"
1994,"Electric Generators, Electric Utilities",Petroleum,"655,860"
1994,"Electric Generators, Electric Utilities",Pumped Storage,"-811,063"
1994,"Combined Heat and Power, Industrial Power",Total,"3,550,697"
1994,"Combined Heat and Power, Industrial Power",Coal,"1,596,547"
1994,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"26,500"
1994,"Combined Heat and Power, Industrial Power",Natural Gas,"915,854"
1994,"Combined Heat and Power, Industrial Power",Other,"15,307"
1994,"Combined Heat and Power, Industrial Power",Other Biomass,"2,073"
1994,"Combined Heat and Power, Industrial Power",Other Gases,595
1994,"Combined Heat and Power, Industrial Power",Petroleum,"162,409"
1994,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"831,412"
1994,"Combined Heat and Power, Electric Power",Total,"9,221,499"
1994,"Combined Heat and Power, Electric Power",Coal,"421,654"
1994,"Combined Heat and Power, Electric Power",Natural Gas,"8,793,532"
1994,"Combined Heat and Power, Electric Power",Other Gases,"4,039"
1994,"Combined Heat and Power, Electric Power",Petroleum,"2,274"
1994,"Combined Heat and Power, Commercial Power",Total,"471,502"
1994,"Combined Heat and Power, Commercial Power",Coal,"214,804"
1994,"Combined Heat and Power, Commercial Power",Natural Gas,"58,490"
1994,"Combined Heat and Power, Commercial Power",Other Biomass,"193,228"
1994,"Combined Heat and Power, Commercial Power",Petroleum,"4,980"
1995,Total Electric Power Industry,Total,"107,444,612"
1995,Total Electric Power Industry,Coal,"67,200,645"
1995,Total Electric Power Industry,Hydroelectric Conventional,"1,597,186"
1995,Total Electric Power Industry,Natural Gas,"11,574,854"
1995,Total Electric Power Industry,Nuclear,"24,448,397"
1995,Total Electric Power Industry,Other,"15,286"
1995,Total Electric Power Industry,Other Biomass,"681,537"
1995,Total Electric Power Industry,Other Gases,"1,430"
1995,Total Electric Power Industry,Petroleum,"855,254"
1995,Total Electric Power Industry,Pumped Storage,"-731,820"
1995,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,801,843"
1995,"Electric Generators, Independent Power Producers",Total,"1,456,350"
1995,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"83,254"
1995,"Electric Generators, Independent Power Producers",Natural Gas,"6,391"
1995,"Electric Generators, Independent Power Producers",Other Biomass,"425,481"
1995,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"941,224"
1995,"Electric Generators, Electric Utilities",Total,"92,478,772"
1995,"Electric Generators, Electric Utilities",Coal,"65,425,002"
1995,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,486,539"
1995,"Electric Generators, Electric Utilities",Natural Gas,"1,163,390"
1995,"Electric Generators, Electric Utilities",Nuclear,"24,448,397"
1995,"Electric Generators, Electric Utilities",Petroleum,"687,264"
1995,"Electric Generators, Electric Utilities",Pumped Storage,"-731,820"
1995,"Combined Heat and Power, Industrial Power",Total,"3,335,460"
1995,"Combined Heat and Power, Industrial Power",Coal,"1,141,494"
1995,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"27,393"
1995,"Combined Heat and Power, Industrial Power",Natural Gas,"1,157,595"
1995,"Combined Heat and Power, Industrial Power",Other,"15,117"
1995,"Combined Heat and Power, Industrial Power",Other Biomass,"2,517"
1995,"Combined Heat and Power, Industrial Power",Other Gases,582
1995,"Combined Heat and Power, Industrial Power",Petroleum,"159,835"
1995,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"830,927"
1995,"Combined Heat and Power, Electric Power",Total,"9,611,128"
1995,"Combined Heat and Power, Electric Power",Coal,"398,437"
1995,"Combined Heat and Power, Electric Power",Natural Gas,"9,181,491"
1995,"Combined Heat and Power, Electric Power",Other Gases,848
1995,"Combined Heat and Power, Electric Power",Petroleum,660
1995,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"29,692"
1995,"Combined Heat and Power, Commercial Power",Total,"562,902"
1995,"Combined Heat and Power, Commercial Power",Coal,"235,712"
1995,"Combined Heat and Power, Commercial Power",Natural Gas,"65,987"
1995,"Combined Heat and Power, Commercial Power",Other,169
1995,"Combined Heat and Power, Commercial Power",Other Biomass,"253,539"
1995,"Combined Heat and Power, Commercial Power",Petroleum,"7,495"
1996,Total Electric Power Industry,Total,"112,518,309"
1996,Total Electric Power Industry,Coal,"67,872,152"
1996,Total Electric Power Industry,Hydroelectric Conventional,"1,783,531"
1996,Total Electric Power Industry,Natural Gas,"13,014,616"
1996,Total Electric Power Industry,Nuclear,"26,829,363"
1996,Total Electric Power Industry,Other,"15,082"
1996,Total Electric Power Industry,Other Biomass,"907,548"
1996,Total Electric Power Industry,Other Gases,"238,416"
1996,Total Electric Power Industry,Petroleum,"832,749"
1996,Total Electric Power Industry,Pumped Storage,"-820,336"
1996,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,845,188"
1996,"Electric Generators, Independent Power Producers",Total,"1,777,211"
1996,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"94,780"
1996,"Electric Generators, Independent Power Producers",Natural Gas,"19,133"
1996,"Electric Generators, Independent Power Producers",Other Biomass,"571,264"
1996,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"1,092,034"
1996,"Electric Generators, Electric Utilities",Total,"95,155,261"
1996,"Electric Generators, Electric Utilities",Coal,"66,097,259"
1996,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,660,109"
1996,"Electric Generators, Electric Utilities",Natural Gas,"737,006"
1996,"Electric Generators, Electric Utilities",Nuclear,"26,829,363"
1996,"Electric Generators, Electric Utilities",Petroleum,"651,860"
1996,"Electric Generators, Electric Utilities",Pumped Storage,"-820,336"
1996,"Combined Heat and Power, Industrial Power",Total,"2,915,466"
1996,"Combined Heat and Power, Industrial Power",Coal,"1,143,257"
1996,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"28,642"
1996,"Combined Heat and Power, Industrial Power",Natural Gas,"582,802"
1996,"Combined Heat and Power, Industrial Power",Other,"14,978"
1996,"Combined Heat and Power, Industrial Power",Other Biomass,"5,518"
1996,"Combined Heat and Power, Industrial Power",Other Gases,"238,393"
1996,"Combined Heat and Power, Industrial Power",Petroleum,"171,687"
1996,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"730,189"
1996,"Combined Heat and Power, Electric Power",Total,"12,044,778"
1996,"Combined Heat and Power, Electric Power",Coal,"385,072"
1996,"Combined Heat and Power, Electric Power",Natural Gas,"11,633,809"
1996,"Combined Heat and Power, Electric Power",Other Gases,23
1996,"Combined Heat and Power, Electric Power",Petroleum,"2,909"
1996,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"22,965"
1996,"Combined Heat and Power, Commercial Power",Total,"625,593"
1996,"Combined Heat and Power, Commercial Power",Coal,"246,564"
1996,"Combined Heat and Power, Commercial Power",Natural Gas,"41,866"
1996,"Combined Heat and Power, Commercial Power",Other,104
1996,"Combined Heat and Power, Commercial Power",Other Biomass,"330,766"
1996,"Combined Heat and Power, Commercial Power",Petroleum,"6,293"
1997,Total Electric Power Industry,Total,"106,970,759"
1997,Total Electric Power Industry,Coal,"67,444,850"
1997,Total Electric Power Industry,Hydroelectric Conventional,"1,712,464"
1997,Total Electric Power Industry,Natural Gas,"13,388,312"
1997,Total Electric Power Industry,Nuclear,"21,913,808"
1997,Total Electric Power Industry,Other,"18,122"
1997,Total Electric Power Industry,Other Biomass,"941,632"
1997,Total Electric Power Industry,Other Gases,959
1997,Total Electric Power Industry,Petroleum,"757,653"
1997,Total Electric Power Industry,Pumped Storage,"-934,385"
1997,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,727,344"
1997,"Electric Generators, Independent Power Producers",Total,"1,679,487"
1997,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"93,318"
1997,"Electric Generators, Independent Power Producers",Natural Gas,"17,307"
1997,"Electric Generators, Independent Power Producers",Other Biomass,"590,733"
1997,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"978,129"
1997,"Electric Generators, Electric Utilities",Total,"89,564,616"
1997,"Electric Generators, Electric Utilities",Coal,"65,552,021"
1997,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,592,707"
1997,"Electric Generators, Electric Utilities",Natural Gas,"838,412"
1997,"Electric Generators, Electric Utilities",Nuclear,"21,913,808"
1997,"Electric Generators, Electric Utilities",Petroleum,"602,053"
1997,"Electric Generators, Electric Utilities",Pumped Storage,"-934,385"
1997,"Combined Heat and Power, Industrial Power",Total,"2,803,339"
1997,"Combined Heat and Power, Industrial Power",Coal,"1,194,610"
1997,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"26,439"
1997,"Combined Heat and Power, Industrial Power",Natural Gas,"685,319"
1997,"Combined Heat and Power, Industrial Power",Other,"18,110"
1997,"Combined Heat and Power, Industrial Power",Other Biomass,"5,226"
1997,"Combined Heat and Power, Industrial Power",Other Gases,579
1997,"Combined Heat and Power, Industrial Power",Petroleum,"147,547"
1997,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"725,509"
1997,"Combined Heat and Power, Electric Power",Total,"12,287,613"
1997,"Combined Heat and Power, Electric Power",Coal,"446,131"
1997,"Combined Heat and Power, Electric Power",Natural Gas,"11,816,278"
1997,"Combined Heat and Power, Electric Power",Other Gases,380
1997,"Combined Heat and Power, Electric Power",Petroleum,"1,118"
1997,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"23,706"
1997,"Combined Heat and Power, Commercial Power",Total,"635,704"
1997,"Combined Heat and Power, Commercial Power",Coal,"252,088"
1997,"Combined Heat and Power, Commercial Power",Natural Gas,"30,996"
1997,"Combined Heat and Power, Commercial Power",Other,12
1997,"Combined Heat and Power, Commercial Power",Other Biomass,"345,673"
1997,"Combined Heat and Power, Commercial Power",Petroleum,"6,935"
1998,Total Electric Power Industry,Total,"100,477,394"
1998,Total Electric Power Industry,Coal,"70,472,657"
1998,Total Electric Power Industry,Hydroelectric Conventional,"1,397,118"
1998,Total Electric Power Industry,Natural Gas,"13,085,180"
1998,Total Electric Power Industry,Nuclear,"12,494,153"
1998,Total Electric Power Industry,Other,"19,628"
1998,Total Electric Power Industry,Other Biomass,"1,002,090"
1998,Total Electric Power Industry,Other Gases,"5,294"
1998,Total Electric Power Industry,Petroleum,"1,171,661"
1998,Total Electric Power Industry,Pumped Storage,"-930,349"
1998,Total Electric Power Industry,Wind,0
1998,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,759,962"
1998,"Electric Generators, Independent Power Producers",Total,"1,746,821"
1998,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"89,688"
1998,"Electric Generators, Independent Power Producers",Natural Gas,"16,249"
1998,"Electric Generators, Independent Power Producers",Other Biomass,"656,019"
1998,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"984,865"
1998,"Electric Generators, Electric Utilities",Total,"85,146,307"
1998,"Electric Generators, Electric Utilities",Coal,"69,142,807"
1998,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,282,471"
1998,"Electric Generators, Electric Utilities",Natural Gas,"2,152,055"
1998,"Electric Generators, Electric Utilities",Nuclear,"12,494,153"
1998,"Electric Generators, Electric Utilities",Petroleum,"1,005,170"
1998,"Electric Generators, Electric Utilities",Pumped Storage,"-930,349"
1998,"Electric Generators, Electric Utilities",Wind,0
1998,"Combined Heat and Power, Industrial Power",Total,"1,931,811"
1998,"Combined Heat and Power, Industrial Power",Coal,"600,450"
1998,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"24,959"
1998,"Combined Heat and Power, Industrial Power",Natural Gas,"379,091"
1998,"Combined Heat and Power, Industrial Power",Other,"19,628"
1998,"Combined Heat and Power, Industrial Power",Other Biomass,"5,239"
1998,"Combined Heat and Power, Industrial Power",Petroleum,"155,458"
1998,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"746,986"
1998,"Combined Heat and Power, Electric Power",Total,"11,014,262"
1998,"Combined Heat and Power, Electric Power",Coal,"474,925"
1998,"Combined Heat and Power, Electric Power",Natural Gas,"10,502,950"
1998,"Combined Heat and Power, Electric Power",Other Gases,"5,294"
1998,"Combined Heat and Power, Electric Power",Petroleum,"2,982"
1998,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"28,111"
1998,"Combined Heat and Power, Commercial Power",Total,"638,193"
1998,"Combined Heat and Power, Commercial Power",Coal,"254,475"
1998,"Combined Heat and Power, Commercial Power",Natural Gas,"34,835"
1998,"Combined Heat and Power, Commercial Power",Other Biomass,"340,832"
1998,"Combined Heat and Power, Commercial Power",Petroleum,"8,051"
1999,Total Electric Power Industry,Total,"103,239,715"
1999,Total Electric Power Industry,Coal,"70,404,994"
1999,Total Electric Power Industry,Hydroelectric Conventional,"1,458,333"
1999,Total Electric Power Industry,Natural Gas,"13,513,755"
1999,Total Electric Power Industry,Nuclear,"14,590,711"
1999,Total Electric Power Industry,Other,17
1999,Total Electric Power Industry,Other Biomass,"979,381"
1999,Total Electric Power Industry,Other Gases,153
1999,Total Electric Power Industry,Petroleum,"1,484,354"
1999,Total Electric Power Industry,Pumped Storage,"-932,474"
1999,Total Electric Power Industry,Wind,0
1999,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,740,491"
1999,"Electric Generators, Independent Power Producers",Total,"1,723,457"
1999,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"64,910"
1999,"Electric Generators, Independent Power Producers",Natural Gas,"93,074"
1999,"Electric Generators, Independent Power Producers",Other Biomass,"577,293"
1999,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"988,180"
1999,"Electric Generators, Electric Utilities",Total,"87,874,695"
1999,"Electric Generators, Electric Utilities",Coal,"69,118,017"
1999,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,367,296"
1999,"Electric Generators, Electric Utilities",Natural Gas,"2,448,449"
1999,"Electric Generators, Electric Utilities",Nuclear,"14,590,711"
1999,"Electric Generators, Electric Utilities",Petroleum,"1,282,696"
1999,"Electric Generators, Electric Utilities",Pumped Storage,"-932,474"
1999,"Electric Generators, Electric Utilities",Wind,0
1999,"Combined Heat and Power, Industrial Power",Total,"1,877,968"
1999,"Combined Heat and Power, Industrial Power",Coal,"566,335"
1999,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"26,127"
1999,"Combined Heat and Power, Industrial Power",Natural Gas,"365,429"
1999,"Combined Heat and Power, Industrial Power",Other Biomass,"4,103"
1999,"Combined Heat and Power, Industrial Power",Petroleum,"188,715"
1999,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"727,259"
1999,"Combined Heat and Power, Electric Power",Total,"11,079,892"
1999,"Combined Heat and Power, Electric Power",Coal,"472,378"
1999,"Combined Heat and Power, Electric Power",Natural Gas,"10,578,128"
1999,"Combined Heat and Power, Electric Power",Other Biomass,602
1999,"Combined Heat and Power, Electric Power",Other Gases,153
1999,"Combined Heat and Power, Electric Power",Petroleum,"3,579"
1999,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"25,052"
1999,"Combined Heat and Power, Commercial Power",Total,"683,703"
1999,"Combined Heat and Power, Commercial Power",Coal,"248,264"
1999,"Combined Heat and Power, Commercial Power",Natural Gas,"28,675"
1999,"Combined Heat and Power, Commercial Power",Other,17
1999,"Combined Heat and Power, Commercial Power",Other Biomass,"397,383"
1999,"Combined Heat and Power, Commercial Power",Petroleum,"9,364"
2000,Total Electric Power Industry,Total,"104,209,594"
2000,Total Electric Power Industry,Coal,"68,266,999"
