YEAR,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2008,"Electric Generators, Electric Utilities",Other Gases,0
2008,"Electric Generators, Electric Utilities",Petroleum,"281,604"
2008,"Electric Generators, Electric Utilities",Pumped Storage,"-915,502"
2008,"Combined Heat and Power, Industrial Power",Total,"1,647,284"
2008,"Combined Heat and Power, Industrial Power",Coal,"727,347"
2008,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"25,810"
2008,"Combined Heat and Power, Industrial Power",Natural Gas,"90,773"
2008,"Combined Heat and Power, Industrial Power",Other,"4,839"
2008,"Combined Heat and Power, Industrial Power",Other Biomass,"1,307"
2008,"Combined Heat and Power, Industrial Power",Petroleum,"95,153"
2008,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"702,055"
2008,"Combined Heat and Power, Electric Power",Total,"7,349,933"
2008,"Combined Heat and Power, Electric Power",Coal,"358,132"
2008,"Combined Heat and Power, Electric Power",Natural Gas,"6,495,078"
2008,"Combined Heat and Power, Electric Power",Other,"70,734"
2008,"Combined Heat and Power, Electric Power",Other Biomass,"63,183"
2008,"Combined Heat and Power, Electric Power",Other Gases,"264,407"
2008,"Combined Heat and Power, Electric Power",Petroleum,"74,692"
2008,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"23,707"
2008,"Combined Heat and Power, Commercial Power",Total,"535,131"
2008,"Combined Heat and Power, Commercial Power",Coal,"290,153"
2008,"Combined Heat and Power, Commercial Power",Natural Gas,"12,457"
2008,"Combined Heat and Power, Commercial Power",Other,"97,732"
2008,"Combined Heat and Power, Commercial Power",Other Biomass,"124,389"
2008,"Combined Heat and Power, Commercial Power",Petroleum,"6,091"
2008,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,"4,310"
2009,Total Electric Power Industry,Total,"101,202,605"
2009,Total Electric Power Industry,Coal,"66,847,683"
2009,Total Electric Power Industry,Hydroelectric Conventional,"1,371,926"
2009,Total Electric Power Industry,Natural Gas,"8,419,551"
2009,Total Electric Power Industry,Nuclear,"21,851,009"
2009,Total Electric Power Industry,Other,"344,358"
2009,Total Electric Power Industry,Other Biomass,"834,012"
2009,Total Electric Power Industry,Other Gases,"202,510"
2009,Total Electric Power Industry,Petroleum,"399,249"
2009,Total Electric Power Industry,Pumped Storage,"-856,864"
2009,Total Electric Power Industry,Wind,"300,172"
2009,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,489,001"
2009,"Electric Generators, Independent Power Producers",Total,"10,449,447"
2009,"Electric Generators, Independent Power Producers",Coal,"15,041"
2009,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"113,340"
2009,"Electric Generators, Independent Power Producers",Natural Gas,"2,345,799"
2009,"Electric Generators, Independent Power Producers",Nuclear,"6,118,710"
2009,"Electric Generators, Independent Power Producers",Other,"88,464"
2009,"Electric Generators, Independent Power Producers",Other Biomass,"615,995"
2009,"Electric Generators, Independent Power Producers",Other Gases,0
2009,"Electric Generators, Independent Power Producers",Petroleum,0
2009,"Electric Generators, Independent Power Producers",Wind,"300,172"
2009,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"851,926"
2009,"Electric Generators, Electric Utilities",Total,"82,787,341"
2009,"Electric Generators, Electric Utilities",Coal,"65,867,455"
2009,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,234,066"
2009,"Electric Generators, Electric Utilities",Natural Gas,"563,510"
2009,"Electric Generators, Electric Utilities",Nuclear,"15,732,299"
2009,"Electric Generators, Electric Utilities",Other,"31,676"
2009,"Electric Generators, Electric Utilities",Other Biomass,11
2009,"Electric Generators, Electric Utilities",Other Gases,0
2009,"Electric Generators, Electric Utilities",Petroleum,"215,189"
2009,"Electric Generators, Electric Utilities",Pumped Storage,"-856,864"
2009,"Combined Heat and Power, Industrial Power",Total,"1,158,593"
2009,"Combined Heat and Power, Industrial Power",Coal,"308,223"
2009,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"24,520"
2009,"Combined Heat and Power, Industrial Power",Natural Gas,"82,607"
2009,"Combined Heat and Power, Industrial Power",Other,"25,500"
2009,"Combined Heat and Power, Industrial Power",Other Biomass,"5,123"
2009,"Combined Heat and Power, Industrial Power",Petroleum,"99,174"
2009,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"613,445"
2009,"Combined Heat and Power, Electric Power",Total,"6,203,600"
2009,"Combined Heat and Power, Electric Power",Coal,"368,939"
2009,"Combined Heat and Power, Electric Power",Natural Gas,"5,392,986"
2009,"Combined Heat and Power, Electric Power",Other,"80,509"
2009,"Combined Heat and Power, Electric Power",Other Biomass,"62,434"
2009,"Combined Heat and Power, Electric Power",Other Gases,"202,510"
2009,"Combined Heat and Power, Electric Power",Petroleum,"76,154"
2009,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"20,069"
2009,"Combined Heat and Power, Commercial Power",Total,"603,624"
2009,"Combined Heat and Power, Commercial Power",Coal,"288,025"
2009,"Combined Heat and Power, Commercial Power",Natural Gas,"34,648"
2009,"Combined Heat and Power, Commercial Power",Other,"118,209"
2009,"Combined Heat and Power, Commercial Power",Other Biomass,"150,449"
2009,"Combined Heat and Power, Commercial Power",Petroleum,"8,732"
2009,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,"3,561"
2010,Total Electric Power Industry,Total,"111,551,371"
2010,Total Electric Power Industry,Coal,"65,604,374"
2010,Total Electric Power Industry,Hydroelectric Conventional,"1,250,553"
2010,Total Electric Power Industry,Natural Gas,"12,249,262"
2010,Total Electric Power Industry,Nuclear,"29,624,580"
2010,Total Electric Power Industry,Other,"331,677"
2010,Total Electric Power Industry,Other Biomass,"802,376"
2010,Total Electric Power Industry,Other Gases,"299,005"
2010,Total Electric Power Industry,Petroleum,"382,028"
2010,Total Electric Power Industry,Pumped Storage,"-1,022,559"
2010,Total Electric Power Industry,Wind,"360,340"
2010,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,669,736"
2010,"Electric Generators, Independent Power Producers",Total,"12,569,865"
2010,"Electric Generators, Independent Power Producers",Coal,"27,208"
2010,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"79,463"
2010,"Electric Generators, Independent Power Producers",Natural Gas,"4,162,500"
2010,"Electric Generators, Independent Power Producers",Nuclear,"6,240,661"
2010,"Electric Generators, Independent Power Producers",Other,"102,959"
2010,"Electric Generators, Independent Power Producers",Other Biomass,"632,248"
2010,"Electric Generators, Independent Power Producers",Other Gases,0
2010,"Electric Generators, Independent Power Producers",Petroleum,0
2010,"Electric Generators, Independent Power Producers",Wind,"360,340"
2010,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"964,485"
2010,"Electric Generators, Electric Utilities",Total,"89,666,874"
2010,"Electric Generators, Electric Utilities",Coal,"64,766,712"
2010,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,142,977"
2010,"Electric Generators, Electric Utilities",Natural Gas,"1,173,481"
2010,"Electric Generators, Electric Utilities",Nuclear,"23,383,919"
2010,"Electric Generators, Electric Utilities",Other,"27,165"
2010,"Electric Generators, Electric Utilities",Other Biomass,0
2010,"Electric Generators, Electric Utilities",Other Gases,0
2010,"Electric Generators, Electric Utilities",Petroleum,"195,180"
2010,"Electric Generators, Electric Utilities",Pumped Storage,"-1,022,559"
2010,"Combined Heat and Power, Industrial Power",Total,"1,215,481"
2010,"Combined Heat and Power, Industrial Power",Coal,"231,533"
2010,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"28,113"
2010,"Combined Heat and Power, Industrial Power",Natural Gas,"140,189"
2010,"Combined Heat and Power, Industrial Power",Other,"21,871"
2010,"Combined Heat and Power, Industrial Power",Other Biomass,"7,874"
2010,"Combined Heat and Power, Industrial Power",Petroleum,"107,102"
2010,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"678,799"
2010,"Combined Heat and Power, Electric Power",Total,"7,474,970"
2010,"Combined Heat and Power, Electric Power",Coal,"343,525"
2010,"Combined Heat and Power, Electric Power",Natural Gas,"6,676,088"
2010,"Combined Heat and Power, Electric Power",Other,"56,966"
2010,"Combined Heat and Power, Electric Power",Other Biomass,"6,069"
2010,"Combined Heat and Power, Electric Power",Other Gases,"299,005"
2010,"Combined Heat and Power, Electric Power",Petroleum,"71,051"
2010,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"22,266"
2010,"Combined Heat and Power, Commercial Power",Total,"624,181"
2010,"Combined Heat and Power, Commercial Power",Coal,"235,396"
2010,"Combined Heat and Power, Commercial Power",Natural Gas,"97,004"
2010,"Combined Heat and Power, Commercial Power",Other,"122,715"
2010,"Combined Heat and Power, Commercial Power",Other Biomass,"156,185"
2010,"Combined Heat and Power, Commercial Power",Petroleum,"8,695"
2010,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,"4,186"
2011,Total Electric Power Industry,Total,"109,169,507"
2011,Total Electric Power Industry,Coal,"58,948,269"
2011,Total Electric Power Industry,Hydroelectric Conventional,"1,357,308"
2011,Total Electric Power Industry,Natural Gas,"12,982,054"
2011,Total Electric Power Industry,Nuclear,"32,889,467"
2011,Total Electric Power Industry,Other,"363,156"
2011,Total Electric Power Industry,Other Biomass,"827,244"
2011,Total Electric Power Industry,Other Gases,"269,175"
2011,Total Electric Power Industry,Petroleum,"342,769"
2011,Total Electric Power Industry,Pumped Storage,"-945,017"
2011,Total Electric Power Industry,Wind,"456,474"
2011,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,678,607"
2011,"Electric Generators, Independent Power Producers",Total,"12,184,173"
2011,"Electric Generators, Independent Power Producers",Coal,"3,730"
2011,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"97,416"
2011,"Electric Generators, Independent Power Producers",Natural Gas,"3,247,996"
2011,"Electric Generators, Independent Power Producers",Nuclear,"6,641,020"
2011,"Electric Generators, Independent Power Producers",Other,"104,823"
2011,"Electric Generators, Independent Power Producers",Other Biomass,"661,739"
2011,"Electric Generators, Independent Power Producers",Other Gases,0
2011,"Electric Generators, Independent Power Producers",Petroleum,0
2011,"Electric Generators, Independent Power Producers",Wind,"453,656"
2011,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"973,794"
2011,"Electric Generators, Electric Utilities",Total,"87,609,471"
2011,"Electric Generators, Electric Utilities",Coal,"58,182,906"
2011,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,230,678"
2011,"Electric Generators, Electric Utilities",Natural Gas,"2,688,135"
2011,"Electric Generators, Electric Utilities",Nuclear,"26,248,447"
2011,"Electric Generators, Electric Utilities",Other,"25,634"
2011,"Electric Generators, Electric Utilities",Other Biomass,0
2011,"Electric Generators, Electric Utilities",Other Gases,0
2011,"Electric Generators, Electric Utilities",Petroleum,"173,663"
2011,"Electric Generators, Electric Utilities",Pumped Storage,"-945,017"
2011,"Electric Generators, Electric Utilities",Wind,"2,818"
2011,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,"2,208"
2011,"Combined Heat and Power, Industrial Power",Total,"1,239,509"
2011,"Combined Heat and Power, Industrial Power",Coal,"246,008"
2011,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"29,214"
2011,"Combined Heat and Power, Industrial Power",Natural Gas,"148,672"
2011,"Combined Heat and Power, Industrial Power",Other,"33,888"
2011,"Combined Heat and Power, Industrial Power",Other Biomass,"7,757"
2011,"Combined Heat and Power, Industrial Power",Petroleum,"99,082"
2011,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"674,889"
2011,"Combined Heat and Power, Electric Power",Total,"7,347,404"
2011,"Combined Heat and Power, Electric Power",Coal,"313,891"
2011,"Combined Heat and Power, Electric Power",Natural Gas,"6,618,157"
2011,"Combined Heat and Power, Electric Power",Other,"52,397"
2011,"Combined Heat and Power, Electric Power",Other Biomass,"5,356"
2011,"Combined Heat and Power, Electric Power",Other Gases,"269,175"
2011,"Combined Heat and Power, Electric Power",Petroleum,"66,787"
2011,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"21,640"
2011,"Combined Heat and Power, Commercial Power",Total,"788,951"
2011,"Combined Heat and Power, Commercial Power",Coal,"201,735"
2011,"Combined Heat and Power, Commercial Power",Natural Gas,"279,095"
2011,"Combined Heat and Power, Commercial Power",Other,"146,413"
2011,"Combined Heat and Power, Commercial Power",Other Biomass,"152,393"
2011,"Combined Heat and Power, Commercial Power",Petroleum,"3,239"
2011,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,"6,076"
2012,Total Electric Power Industry,Total,"108,158,050"
2012,Total Electric Power Industry,Coal,"53,136,432"
2012,Total Electric Power Industry,Pumped Storage,"-773,280"
2012,Total Electric Power Industry,Hydroelectric Conventional,"1,206,826"
2012,Total Electric Power Industry,Natural Gas,"21,748,358"
2012,Total Electric Power Industry,Nuclear,"28,019,714"
2012,Total Electric Power Industry,Other Gases,"314,755"
2012,Total Electric Power Industry,Other,"394,663"
2012,Total Electric Power Industry,Petroleum,"325,143"
2012,Total Electric Power Industry,Other Biomass,"956,227"
2012,Total Electric Power Industry,Wind,"1,131,688"
2012,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,697,524"
2012,"Combined Heat and Power, Industrial Power",Total,"1,363,033"
2012,"Combined Heat and Power, Industrial Power",Coal,"204,172"
2012,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"26,229"
2012,"Combined Heat and Power, Industrial Power",Natural Gas,"183,118"
2012,"Combined Heat and Power, Industrial Power",Other,"26,697"
2012,"Combined Heat and Power, Industrial Power",Petroleum,"116,458"
2012,"Combined Heat and Power, Industrial Power",Other Biomass,"4,277"
2012,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"802,081"
2012,"Combined Heat and Power, Commercial Power",Total,"967,956"
2012,"Combined Heat and Power, Commercial Power",Coal,"118,082"
2012,"Combined Heat and Power, Commercial Power",Natural Gas,"467,827"
2012,"Combined Heat and Power, Commercial Power",Other,"184,890"
2012,"Combined Heat and Power, Commercial Power",Petroleum,"1,556"
2012,"Combined Heat and Power, Commercial Power",Other Biomass,"192,439"
2012,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,"3,161"
2012,"Combined Heat and Power, Electric Power",Total,"11,051,885"
2012,"Combined Heat and Power, Electric Power",Coal,"331,633"
2012,"Combined Heat and Power, Electric Power",Natural Gas,"10,240,324"
2012,"Combined Heat and Power, Electric Power",Other Gases,"314,755"
2012,"Combined Heat and Power, Electric Power",Other,"56,115"
2012,"Combined Heat and Power, Electric Power",Petroleum,"73,178"
2012,"Combined Heat and Power, Electric Power",Other Biomass,"4,506"
2012,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"31,374"
2012,"Electric Generators, Independent Power Producers",Total,"14,300,177"
2012,"Electric Generators, Independent Power Producers",Coal,"11,605"
2012,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"77,906"
2012,"Electric Generators, Independent Power Producers",Natural Gas,"6,456,323"
2012,"Electric Generators, Independent Power Producers",Nuclear,"5,178,213"
2012,"Electric Generators, Independent Power Producers",Other Gases,0
2012,"Electric Generators, Independent Power Producers",Other,"102,415"
2012,"Electric Generators, Independent Power Producers",Petroleum,0
2012,"Electric Generators, Independent Power Producers",Other Biomass,"755,004"
2012,"Electric Generators, Independent Power Producers",Wind,"857,804"
2012,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"860,908"
2012,"Electric Generators, Electric Utilities",Total,"80,474,999"
2012,"Electric Generators, Electric Utilities",Coal,"52,470,940"
2012,"Electric Generators, Electric Utilities",Pumped Storage,"-773,280"
2012,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,102,691"
2012,"Electric Generators, Electric Utilities",Natural Gas,"4,400,766"
2012,"Electric Generators, Electric Utilities",Nuclear,"22,841,501"
2012,"Electric Generators, Electric Utilities",Other Gases,0
2012,"Electric Generators, Electric Utilities",Other,"24,546"
2012,"Electric Generators, Electric Utilities",Petroleum,"133,951"
2012,"Electric Generators, Electric Utilities",Other Biomass,0
2012,"Electric Generators, Electric Utilities",Wind,"273,884"
2012,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0
2013,Total Electric Power Industry,Total,"105,417,801"
2013,Total Electric Power Industry,Coal,"56,291,453"
2013,Total Electric Power Industry,Hydroelectric Conventional,"1,419,049"
2013,Total Electric Power Industry,Natural Gas,"12,341,392"
2013,Total Electric Power Industry,Nuclear,"28,920,823"
2013,Total Electric Power Industry,Other,"312,375"
2013,Total Electric Power Industry,Other Biomass,"987,688"
2013,Total Electric Power Industry,Other Gases,"956,665"
2013,Total Electric Power Industry,Petroleum,"532,481"
2013,Total Electric Power Industry,Pumped Storage,"-870,822"
2013,Total Electric Power Industry,Wind,"2,799,624"
2013,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,727,072"
2013,"Electric Generators, Independent Power Producers",Total,"12,560,766"
2013,"Electric Generators, Independent Power Producers",Coal,"23,943"
2013,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"96,911"
2013,"Electric Generators, Independent Power Producers",Natural Gas,"2,980,661"
2013,"Electric Generators, Independent Power Producers",Nuclear,"6,041,696"
2013,"Electric Generators, Independent Power Producers",Other,"90,489"
2013,"Electric Generators, Independent Power Producers",Other Biomass,"838,638"
2013,"Electric Generators, Independent Power Producers",Petroleum,0
2013,"Electric Generators, Independent Power Producers",Wind,"1,609,370"
2013,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"879,058"
2013,"Electric Generators, Electric Utilities",Total,"83,171,310"
2013,"Electric Generators, Electric Utilities",Coal,"55,616,170"
2013,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,292,863"
2013,"Electric Generators, Electric Utilities",Natural Gas,"2,657,548"
2013,"Electric Generators, Electric Utilities",Nuclear,"22,879,127"
2013,"Electric Generators, Electric Utilities",Other,"14,117"
2013,"Electric Generators, Electric Utilities",Other Gases,"68,492"
2013,"Electric Generators, Electric Utilities",Petroleum,"323,561"
2013,"Electric Generators, Electric Utilities",Pumped Storage,"-870,822"
2013,"Electric Generators, Electric Utilities",Wind,"1,190,254"
2013,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0
2013,"Combined Heat and Power, Industrial Power",Total,"1,511,775"
2013,"Combined Heat and Power, Industrial Power",Coal,"250,094"
2013,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"29,275"
2013,"Combined Heat and Power, Industrial Power",Natural Gas,"249,267"
2013,"Combined Heat and Power, Industrial Power",Other,"24,313"
2013,"Combined Heat and Power, Industrial Power",Other Biomass,"3,773"
2013,"Combined Heat and Power, Industrial Power",Petroleum,"137,100"
2013,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"817,953"
2013,"Combined Heat and Power, Electric Power",Total,"7,312,667"
2013,"Combined Heat and Power, Electric Power",Coal,"310,484"
2013,"Combined Heat and Power, Electric Power",Natural Gas,"5,965,300"
2013,"Combined Heat and Power, Electric Power",Other,"48,510"
2013,"Combined Heat and Power, Electric Power",Other Biomass,"4,825"
2013,"Combined Heat and Power, Electric Power",Other Gases,"888,173"
2013,"Combined Heat and Power, Electric Power",Petroleum,"70,453"
2013,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"24,923"
2013,"Combined Heat and Power, Commercial Power",Total,"861,283"
2013,"Combined Heat and Power, Commercial Power",Coal,"90,762"
2013,"Combined Heat and Power, Commercial Power",Natural Gas,"488,617"
2013,"Combined Heat and Power, Commercial Power",Other,"134,946"
2013,"Combined Heat and Power, Commercial Power",Other Biomass,"140,453"
2013,"Combined Heat and Power, Commercial Power",Petroleum,"1,367"
2013,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,"5,138"
2014,Total Electric Power Industry,Total,"106,816,991"
2014,Total Electric Power Industry,Coal,"52,899,844"
2014,Total Electric Power Industry,Pumped Storage,"-700,889"
2014,Total Electric Power Industry,Hydroelectric Conventional,"1,600,022"
2014,Total Electric Power Industry,Natural Gas,"12,522,837"
2014,Total Electric Power Industry,Nuclear,"31,245,848"
2014,Total Electric Power Industry,Other Gases,"1,119,846"
2014,Total Electric Power Industry,Other,"403,801"
2014,Total Electric Power Industry,Petroleum,"1,051,330"
2014,Total Electric Power Industry,Other Biomass,"1,055,106"
2014,Total Electric Power Industry,Wind,"3,868,118"
2014,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,751,129"
2014,"Combined Heat and Power, Industrial Power",Total,"1,350,907"
2014,"Combined Heat and Power, Industrial Power",Coal,"175,255"
2014,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"28,948"
2014,"Combined Heat and Power, Industrial Power",Natural Gas,"180,116"
2014,"Combined Heat and Power, Industrial Power",Other,"40,790"
2014,"Combined Heat and Power, Industrial Power",Petroleum,"165,888"
2014,"Combined Heat and Power, Industrial Power",Other Biomass,"5,136"
2014,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"754,775"
2014,"Combined Heat and Power, Commercial Power",Total,"971,778"
2014,"Combined Heat and Power, Commercial Power",Coal,"78,818"
2014,"Combined Heat and Power, Commercial Power",Natural Gas,"517,683"
2014,"Combined Heat and Power, Commercial Power",Other,"178,836"
2014,"Combined Heat and Power, Commercial Power",Petroleum,"1,867"
2014,"Combined Heat and Power, Commercial Power",Other Biomass,"186,139"
2014,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,"8,436"
2014,"Combined Heat and Power, Electric Power",Total,"7,631,138"
2014,"Combined Heat and Power, Electric Power",Coal,"368,881"
2014,"Combined Heat and Power, Electric Power",Natural Gas,"6,101,896"
2014,"Combined Heat and Power, Electric Power",Other Gases,"1,027,849"
2014,"Combined Heat and Power, Electric Power",Other,"54,572"
2014,"Combined Heat and Power, Electric Power",Petroleum,"49,527"
2014,"Combined Heat and Power, Electric Power",Other Biomass,"3,659"
2014,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"24,754"
2014,"Electric Generators, Independent Power Producers",Total,"12,787,845"
2014,"Electric Generators, Independent Power Producers",Coal,"1,619"
2014,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"103,468"
2014,"Electric Generators, Independent Power Producers",Natural Gas,"2,398,072"
2014,"Electric Generators, Independent Power Producers",Nuclear,"5,822,926"
2014,"Electric Generators, Independent Power Producers",Other,"97,447"
2014,"Electric Generators, Independent Power Producers",Petroleum,0
2014,"Electric Generators, Independent Power Producers",Other Biomass,"860,172"
2014,"Electric Generators, Independent Power Producers",Wind,"2,540,989"
2014,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"963,153"
2014,"Electric Generators, Electric Utilities",Total,"84,075,322"
2014,"Electric Generators, Electric Utilities",Coal,"52,275,272"
2014,"Electric Generators, Electric Utilities",Pumped Storage,"-700,889"
2014,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,467,606"
2014,"Electric Generators, Electric Utilities",Natural Gas,"3,325,070"
2014,"Electric Generators, Electric Utilities",Nuclear,"25,422,922"
2014,"Electric Generators, Electric Utilities",Other Gases,"91,997"
2014,"Electric Generators, Electric Utilities",Other,"32,156"
2014,"Electric Generators, Electric Utilities",Petroleum,"834,048"
2014,"Electric Generators, Electric Utilities",Other Biomass,0
2014,"Electric Generators, Electric Utilities",Wind,"1,327,129"
2014,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,11
2015,Total Electric Power Industry,Total,"113,008,050"
2015,Total Electric Power Industry,Coal,"52,884,033"
2015,Total Electric Power Industry,Pumped Storage,"-480,821"
2015,Total Electric Power Industry,Hydroelectric Conventional,"1,499,223"
2015,Total Electric Power Industry,Natural Gas,"20,044,798"
2015,Total Electric Power Industry,Nuclear,"29,333,786"
2015,Total Electric Power Industry,Other Gases,"1,212,778"
2015,Total Electric Power Industry,Other,"404,802"
2015,Total Electric Power Industry,Petroleum,"826,492"
2015,Total Electric Power Industry,Solar Thermal and Photovoltaic,"1,190"
2015,Total Electric Power Industry,Other Biomass,"1,038,263"
2015,Total Electric Power Industry,Wind,"4,796,898"
2015,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,446,608"
2015,"Combined Heat and Power, Industrial Power",Total,"1,280,344"
2015,"Combined Heat and Power, Industrial Power",Coal,"132,175"
2015,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"30,037"
2015,"Combined Heat and Power, Industrial Power",Natural Gas,"273,011"
2015,"Combined Heat and Power, Industrial Power",Other,"21,218"
2015,"Combined Heat and Power, Industrial Power",Petroleum,"148,955"
2015,"Combined Heat and Power, Industrial Power",Other Biomass,"5,383"
2015,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"669,564"
2015,"Combined Heat and Power, Commercial Power",Total,"1,012,742"
2015,"Combined Heat and Power, Commercial Power",Coal,"62,476"
2015,"Combined Heat and Power, Commercial Power",Natural Gas,"555,313"
2015,"Combined Heat and Power, Commercial Power",Other,"191,809"
2015,"Combined Heat and Power, Commercial Power",Petroleum,"2,310"
2015,"Combined Heat and Power, Commercial Power",Other Biomass,"199,640"
2015,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,"1,195"
2015,"Combined Heat and Power, Electric Power",Total,"10,925,817"
2015,"Combined Heat and Power, Electric Power",Coal,"392,824"
2015,"Combined Heat and Power, Electric Power",Natural Gas,"9,382,141"
2015,"Combined Heat and Power, Electric Power",Other Gases,"1,034,452"
2015,"Combined Heat and Power, Electric Power",Other,"60,593"
2015,"Combined Heat and Power, Electric Power",Petroleum,"29,415"
2015,"Combined Heat and Power, Electric Power",Other Biomass,"4,205"
2015,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"22,187"
2015,"Electric Generators, Independent Power Producers",Total,"14,418,920"
2015,"Electric Generators, Independent Power Producers",Coal,0
2015,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"82,615"
2015,"Electric Generators, Independent Power Producers",Natural Gas,"3,513,924"
2015,"Electric Generators, Independent Power Producers",Nuclear,"6,318,520"
2015,"Electric Generators, Independent Power Producers",Other,"99,262"
2015,"Electric Generators, Independent Power Producers",Petroleum,0
2015,"Electric Generators, Independent Power Producers",Other Biomass,"829,035"
2015,"Electric Generators, Independent Power Producers",Wind,"2,821,905"
2015,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"753,658"
2015,"Electric Generators, Electric Utilities",Total,"85,370,227"
2015,"Electric Generators, Electric Utilities",Coal,"52,296,558"
2015,"Electric Generators, Electric Utilities",Pumped Storage,"-480,821"
2015,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,386,571"
2015,"Electric Generators, Electric Utilities",Natural Gas,"6,320,409"
2015,"Electric Generators, Electric Utilities",Nuclear,"23,015,266"
2015,"Electric Generators, Electric Utilities",Other Gases,"178,326"
2015,"Electric Generators, Electric Utilities",Other,"31,920"
2015,"Electric Generators, Electric Utilities",Petroleum,"645,811"
2015,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"1,190"
2015,"Electric Generators, Electric Utilities",Wind,"1,974,993"
2015,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,4
2016,Total Electric Power Industry,Total,"112,121,790"
2016,Total Electric Power Industry,Coal,"40,526,872"
2016,Total Electric Power Industry,Pumped Storage,"-751,650"
2016,Total Electric Power Industry,Hydroelectric Conventional,"1,564,355"
2016,Total Electric Power Industry,Natural Gas,"29,295,154"
2016,Total Electric Power Industry,Nuclear,"31,551,710"
2016,Total Electric Power Industry,Other Gases,"1,614,622"
2016,Total Electric Power Industry,Other,"301,645"
2016,Total Electric Power Industry,Petroleum,"818,979"
2016,Total Electric Power Industry,Solar Thermal and Photovoltaic,"9,235"
2016,Total Electric Power Industry,Other Biomass,"972,596"
